loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,dti,delinq_2yrs,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,is_default,grade_encoded,emp_length_num,fico_score,purpose_debt_consolidation,purpose_home_improvement,purpose_major_purchase,purpose_other,home_ownership_MORTGAGE,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified,term_ 60 months
14984,14984, 36 months,18.22,543.36,B,B4,< 1 year,RENT,51754.71930252061,Source Verified,Default,home_improvement,7.11946399726272,0,638,642,16,0,28305,85.2,33,w,Individual,2,0.0,1,2,0,640.0,False,True,False,False,False,False,True,True,False,False
6759,6759, 60 months,19.75,250.33,A,A1,10+ years,MORTGAGE,30597.67973728498,Not Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,11.284541105729684,0,639,643,4,0,8380,66.4,17,w,Individual,1,0.0,1,1,10,641.0,False,True,False,False,True,False,False,False,False,True
31838,31838, 36 months,12.45,1064.33,A,A2,10+ years,RENT,83465.8151136052,Verified,Charged Off,credit_card,7.447942263892912,1,630,634,6,0,38884,56.7,11,f,Individual,1,0.0,1,1,10,632.0,False,False,False,False,False,False,True,False,True,False
7482,7482, 36 months,5.88,227.21,E,E1,7 years,RENT,9859.268634300975,Not Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,35.70472323827859,0,602,606,12,1,46994,27.0,25,w,Individual,2,0.0,1,5,7,604.0,True,False,False,False,False,False,True,False,False,False
29442,29442, 36 months,5.93,894.75,F,F1,3 years,RENT,69164.59157441441,Not Verified,Fully Paid,debt_consolidation,32.290703648312785,0,671,675,7,0,17442,89.4,21,w,Individual,1,0.0,0,6,3,673.0,True,False,False,False,False,False,True,False,False,False
38719,38719, 36 months,5.66,1171.95,C,C2,8 years,RENT,18313.0484445029,Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,35.083018269566765,0,629,633,8,0,36838,65.4,11,f,Individual,0,0.0,1,3,8,631.0,False,True,False,False,False,False,True,False,True,False
32965,32965, 36 months,23.48,1284.33,B,B3,10+ years,MORTGAGE,60028.72196188082,Verified,Charged Off,other,35.39158764120375,0,694,698,5,0,28275,53.0,8,f,Individual,0,0.0,1,2,10,696.0,False,False,False,True,True,False,False,False,True,False
7079,7079, 36 months,12.95,238.35,F,F3,< 1 year,MORTGAGE,78963.77763786643,Not Verified,Charged Off,credit_card,38.05781695085447,0,628,632,18,0,32688,14.4,28,f,Individual,3,0.0,1,6,0,630.0,False,False,False,False,True,False,False,False,False,False
7717,7717, 36 months,24.91,306.46,C,C2,,MORTGAGE,86340.98723511772,Source Verified,Does not meet the credit policy. Status:Charged Off,credit_card,11.532909795403215,3,797,801,6,0,17907,79.3,25,w,Individual,1,0.0,1,3,0,799.0,False,False,False,False,True,False,False,True,False,False
32952,32952, 36 months,15.79,1155.08,D,D4,2 years,MORTGAGE,89700.95140487458,Not Verified,Default,home_improvement,36.500317242068895,0,655,659,22,0,17923,36.4,39,f,Individual,3,0.0,1,4,2,657.0,False,True,False,False,True,False,False,False,False,False
25908,25908, 36 months,16.32,914.95,D,D5,2 years,MORTGAGE,35336.46254325203,Verified,Fully Paid,major_purchase,23.376361576032902,0,793,797,14,0,36548,86.1,29,f,Individual,1,0.0,0,4,2,795.0,False,False,True,False,True,False,False,False,True,False
29861,29861, 36 months,17.82,1076.85,B,B1,2 years,RENT,65833.05285972838,Source Verified,Charged Off,other,10.818085875526522,0,686,690,10,1,12949,20.2,12,f,Individual,2,0.0,1,2,2,688.0,False,False,False,True,False,False,True,True,False,False
12311,12311, 36 months,22.83,475.47,C,C5,2 years,MORTGAGE,42170.20572720432,Not Verified,Charged Off,debt_consolidation,27.952068187192864,1,707,711,10,0,12116,9.4,25,w,Individual,2,0.0,1,3,2,709.0,True,False,False,False,True,False,False,False,False,False
33071,33071, 36 months,11.84,1095.9,B,B2,9 years,OWN,40971.302560682,Not Verified,Default,debt_consolidation,16.445018277146566,2,662,666,20,1,26442,44.1,28,w,Individual,0,0.0,1,2,9,664.0,True,False,False,False,False,True,False,False,False,False
28570,28570, 36 months,8.04,895.81,B,B1,< 1 year,OWN,56664.502158326846,Not Verified,Charged Off,debt_consolidation,6.626431709663025,0,629,633,18,0,12036,12.0,25,f,Individual,0,0.0,1,2,0,631.0,True,False,False,False,False,True,False,False,False,False
23449,23449, 60 months,18.9,858.36,D,D5,< 1 year,RENT,48511.28391207895,Verified,Charged Off,debt_consolidation,7.752679490846292,0,652,656,11,0,14439,10.6,16,w,Individual,2,0.0,1,4,0,654.0,True,False,False,False,False,False,True,False,True,True
38536,38536, 60 months,13.17,1301.59,E,E3,< 1 year,OWN,35663.342523259635,Not Verified,Default,credit_card,19.830059438171663,0,645,649,13,0,41434,69.2,25,w,Individual,1,0.0,1,5,0,647.0,False,False,False,False,False,True,False,False,False,True
33865,33865, 60 months,16.06,1191.6,D,D4,7 years,RENT,70330.56473870712,Verified,Does not meet the credit policy. Status:Charged Off,credit_card,33.92692418119034,0,702,706,18,0,33399,28.2,25,f,Individual,0,0.0,1,4,7,704.0,False,False,False,False,False,False,True,False,True,True
11645,11645, 36 months,21.17,439.74,C,C5,9 years,RENT,78767.99436614999,Source Verified,Default,major_purchase,15.88597191653785,0,736,740,23,0,49895,62.5,31,f,Individual,1,0.0,1,3,9,738.0,False,False,True,False,False,False,True,True,False,False
31737,31737, 60 months,17.35,1137.05,A,A4,4 years,RENT,38925.88120231483,Source Verified,Does not meet the credit policy. Status:Charged Off,credit_card,31.814405213442704,0,606,610,10,0,12053,56.4,29,w,Individual,1,0.0,1,1,4,608.0,False,False,False,False,False,False,True,True,False,True
16485,16485, 60 months,20.51,616.93,A,A3,< 1 year,RENT,54601.1282555499,Not Verified,Charged Off,major_purchase,6.951038699698056,0,662,666,20,0,45251,17.7,28,f,Individual,0,0.0,1,1,0,664.0,False,False,True,False,False,False,True,False,False,True
30522,30522, 60 months,18.61,1112.81,B,B5,8 years,MORTGAGE,55071.32972392249,Verified,Fully Paid,major_purchase,18.780637544966783,0,774,778,23,0,48296,39.7,37,f,Individual,0,0.0,0,2,8,776.0,False,False,True,False,True,False,False,False,True,True
17342,17342, 36 months,23.49,675.74,C,C2,2 years,MORTGAGE,55518.10056016744,Not Verified,Charged Off,debt_consolidation,9.460408872783914,3,643,647,24,0,3844,10.9,35,f,Individual,3,0.0,1,3,2,645.0,True,False,False,False,True,False,False,False,False,False
18087,18087, 36 months,22.65,696.85,C,C1,4 years,RENT,58200.125128655614,Source Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,35.2241917372276,0,776,780,16,1,4623,43.0,23,f,Individual,4,0.0,1,3,4,778.0,True,False,False,False,False,False,True,True,False,False
39249,39249, 60 months,18.35,1425.85,A,A3,3 years,MORTGAGE,69167.99915250865,Verified,Fully Paid,credit_card,38.87783723936992,0,678,682,9,0,28141,21.4,13,f,Individual,1,0.0,0,1,3,680.0,False,False,False,False,True,False,False,False,True,True
15093,15093, 36 months,21.97,576.17,G,G4,2 years,OWN,107357.5548295646,Source Verified,Fully Paid,credit_card,16.396549901534108,0,789,793,8,1,4236,13.7,10,f,Individual,0,0.0,0,7,2,791.0,False,False,False,False,False,True,False,True,False,False
21438,21438, 36 months,26.84,873.37,B,B4,3 years,RENT,63900.45192647879,Source Verified,Default,major_purchase,39.61019312742553,1,658,662,19,0,49021,33.5,36,w,Individual,1,0.0,1,2,3,660.0,False,False,True,False,False,False,True,True,False,False
31399,31399, 36 months,15.81,1100.95,D,D3,4 years,MORTGAGE,46396.36692552851,Verified,Charged Off,home_improvement,31.330764608099532,0,674,678,5,0,49390,5.3,8,f,Individual,0,0.0,1,4,4,676.0,False,True,False,False,True,False,False,False,True,False
24846,24846, 36 months,15.32,865.19,C,C2,2 years,MORTGAGE,59514.89836929978,Verified,Default,debt_consolidation,5.043186479950177,0,683,687,8,1,37015,73.2,26,w,Individual,1,0.0,1,3,2,685.0,True,False,False,False,True,False,False,False,True,False
20708,20708, 36 months,24.11,813.63,A,A2,< 1 year,MORTGAGE,35188.53075874237,Verified,Does not meet the credit policy. Status:Charged Off,other,21.984512152460816,0,612,616,8,0,39123,19.2,23,f,Individual,0,1.0,1,1,0,614.0,False,False,False,True,True,False,False,False,True,False
15998,15998, 36 months,19.56,590.96,D,D4,10+ years,MORTGAGE,38231.50040355276,Not Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,34.19352229700983,1,757,761,15,0,22246,61.3,26,w,Individual,3,1.0,1,4,10,759.0,False,True,False,False,True,False,False,False,False,False
35678,35678, 36 months,6.78,1098.05,D,D3,< 1 year,MORTGAGE,74325.5010974944,Not Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,23.685638342648907,0,703,707,21,0,35699,79.9,31,w,Individual,0,0.0,1,4,0,705.0,True,False,False,False,True,False,False,False,False,False
15682,15682, 36 months,27.3,642.75,C,C3,7 years,OWN,12520.378164945856,Verified,Default,debt_consolidation,24.248627140563794,0,702,706,24,0,15760,87.6,37,f,Individual,1,0.0,1,3,7,704.0,True,False,False,False,False,True,False,False,True,False
13519,13519, 36 months,5.77,409.87,C,C1,7 years,MORTGAGE,53724.293707202094,Verified,Default,credit_card,20.669486804059098,1,683,687,4,0,2265,55.2,16,f,Individual,2,0.0,1,3,7,685.0,False,False,False,False,True,False,False,False,True,False
36480,36480, 36 months,23.71,1425.67,A,A4,6 years,RENT,95227.64465868422,Not Verified,Does not meet the credit policy. Status:Charged Off,other,18.82636043235352,0,708,712,16,0,45779,75.9,33,f,Individual,2,0.0,1,1,6,710.0,False,False,False,True,False,False,True,False,False,False
24694,24694, 36 months,23.97,968.43,C,C2,3 years,MORTGAGE,73276.54815830172,Verified,Charged Off,other,5.958886524335868,0,642,646,23,0,1106,45.9,28,f,Joint App,0,0.0,1,3,3,644.0,False,False,False,True,True,False,False,False,True,False
8300,8300, 36 months,28.83,347.05,E,E5,1 year,OWN,92067.43729634312,Source Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,26.760657141042728,0,778,782,15,0,32606,49.1,27,f,Individual,1,0.0,1,5,1,780.0,True,False,False,False,False,True,False,True,False,False
11722,11722, 60 months,6.35,358.47,A,A2,10+ years,RENT,70824.26101716235,Verified,Charged Off,major_purchase,31.835421775838395,0,701,705,11,0,3035,54.2,25,w,Individual,1,0.0,1,1,10,703.0,False,False,True,False,False,False,True,False,True,True
29160,29160, 36 months,19.92,1082.5,B,B2,5 years,RENT,162110.56705353403,Not Verified,Charged Off,other,32.656224508646744,3,607,611,4,1,46652,65.3,13,w,Joint App,0,0.0,1,2,5,609.0,False,False,False,True,False,False,True,False,False,False
25059,25059, 36 months,15.7,877.29,E,E5,2 years,RENT,32355.564538061182,Verified,Charged Off,home_improvement,26.86226489456856,0,636,640,18,0,17829,65.3,36,f,Individual,1,0.0,1,5,2,638.0,False,True,False,False,False,False,True,False,True,False
18575,18575, 36 months,13.27,628.28,B,B4,1 year,RENT,63436.32203171711,Verified,Fully Paid,major_purchase,16.94470373748176,1,705,709,13,0,35104,75.7,25,f,Individual,0,0.0,0,2,1,707.0,False,False,True,False,False,False,True,False,True,False
12970,12970, 60 months,7.26,402.02,C,C1,3 years,MORTGAGE,86139.50518358381,Source Verified,Default,credit_card,5.791338396866409,0,696,700,4,0,41875,60.5,9,w,Individual,0,0.0,1,3,3,698.0,False,False,False,False,True,False,False,True,False,True
39911,39911, 36 months,19.07,1464.39,C,C2,9 years,MORTGAGE,48486.631266952056,Verified,Charged Off,debt_consolidation,36.35228415399951,0,689,693,17,0,15925,84.4,30,w,Individual,0,0.0,1,3,9,691.0,True,False,False,False,True,False,False,False,True,False
26591,26591, 36 months,16.98,947.78,C,C2,4 years,MORTGAGE,107942.14205446816,Not Verified,Charged Off,debt_consolidation,20.016617643209187,1,707,711,16,0,47268,68.8,29,f,Individual,1,0.0,1,3,4,709.0,True,False,False,False,True,False,False,False,False,False
36821,36821, 36 months,7.61,1147.22,B,B4,6 years,MORTGAGE,81006.52247254306,Not Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,26.041140703242675,1,719,723,23,0,25915,88.6,42,w,Individual,2,0.0,1,2,6,721.0,False,True,False,False,True,False,False,False,False,False
14503,14503, 36 months,20.31,541.28,B,B4,9 years,MORTGAGE,28398.717359662176,Source Verified,Fully Paid,home_improvement,11.809462631335771,0,791,795,13,0,21706,72.5,24,w,Individual,4,0.0,0,2,9,793.0,False,True,False,False,True,False,False,True,False,False
23922,23922, 60 months,23.45,931.63,A,A3,< 1 year,RENT,71758.61683197535,Source Verified,Charged Off,credit_card,9.968450127406228,0,638,642,8,0,37122,71.5,16,w,Individual,1,1.0,1,1,0,640.0,False,False,False,False,False,False,True,True,False,True
17175,17175, 60 months,24.18,675.45,D,D4,10+ years,MORTGAGE,81151.47747850583,Not Verified,Fully Paid,credit_card,8.038619948277132,0,735,739,12,0,46744,82.4,19,f,Individual,0,1.0,0,4,10,737.0,False,False,False,False,True,False,False,False,False,True
26389,26389, 36 months,27.63,1086.28,D,D4,9 years,MORTGAGE,135444.76881916617,Verified,Charged Off,other,32.95678218264359,0,661,665,17,0,29091,64.0,36,w,Individual,0,0.0,1,4,9,663.0,False,False,False,True,True,False,False,False,True,False
5822,5822, 36 months,15.24,202.51,C,C2,< 1 year,OWN,54736.85644778876,Not Verified,Does not meet the credit policy. Status:Charged Off,major_purchase,27.62612496453664,1,638,642,24,0,6573,21.2,37,f,Individual,2,0.0,1,3,0,640.0,False,False,True,False,False,True,False,False,False,False
22327,22327, 36 months,28.83,933.57,C,C1,1 year,OWN,79179.74694715155,Source Verified,Default,debt_consolidation,26.74057406322144,0,741,745,4,0,44590,12.5,16,f,Individual,0,0.0,1,3,1,743.0,True,False,False,False,False,True,False,True,False,False
11150,11150, 36 months,26.64,453.05,B,B2,5 years,ANY,68106.33024439772,Not Verified,Charged Off,other,37.178921169055975,0,651,655,18,0,49556,33.4,34,f,Individual,0,0.0,1,2,5,653.0,False,False,False,True,False,False,False,False,False,False
9425,9425, 36 months,12.41,314.89,A,A4,< 1 year,RENT,45201.856056493336,Source Verified,Default,credit_card,10.554928372683166,0,656,660,22,0,47860,78.3,28,f,Individual,2,0.0,1,1,0,658.0,False,False,False,False,False,False,True,True,False,False
21032,21032, 36 months,8.98,668.62,D,D3,,MORTGAGE,50282.22086949781,Not Verified,Fully Paid,home_improvement,10.959427313406213,0,748,752,23,0,47373,7.0,34,f,Individual,1,0.0,0,4,0,750.0,False,True,False,False,True,False,False,False,False,False
7198,7198, 36 months,15.88,252.63,C,C1,3 years,RENT,20001.909954565675,Verified,Does not meet the credit policy. Status:Charged Off,other,11.63142023370191,0,622,626,10,0,33144,18.5,29,f,Individual,1,0.0,1,3,3,624.0,False,False,False,True,False,False,True,False,True,False
25079,25079, 36 months,15.05,869.99,B,B3,8 years,MORTGAGE,47269.91831567998,Verified,Default,home_improvement,19.81793005928514,0,731,735,21,0,6093,14.6,37,f,Individual,4,0.0,1,2,8,733.0,False,True,False,False,True,False,False,False,True,False
18859,18859, 60 months,19.39,695.02,A,A5,6 years,MORTGAGE,131342.91989117552,Source Verified,Fully Paid,major_purchase,35.59776072541774,0,770,774,7,0,1355,8.3,21,f,Individual,1,0.0,0,1,6,772.0,False,False,True,False,True,False,False,True,False,True
36419,36419, 36 months,19.58,1345.68,A,A3,< 1 year,MORTGAGE,54926.50076611004,Verified,Charged Off,home_improvement,35.85159441210845,0,738,742,24,1,23656,77.9,27,w,Individual,1,0.0,1,1,0,740.0,False,True,False,False,True,False,False,False,True,False
13705,13705, 60 months,23.75,535.89,B,B3,9 years,RENT,91333.83371620665,Source Verified,Default,debt_consolidation,25.670570778791756,0,683,687,9,0,22376,30.2,12,w,Individual,4,0.0,1,2,9,685.0,True,False,False,False,False,False,True,True,False,True
28236,28236, 60 months,17.75,1017.26,D,D4,,MORTGAGE,67098.021289698,Verified,Fully Paid,major_purchase,28.035001425220926,0,618,622,6,0,39482,70.6,25,f,Individual,2,0.0,0,4,0,620.0,False,False,True,False,True,False,False,False,True,True
27419,27419, 36 months,7.62,854.41,E,E4,3 years,RENT,74029.50339858097,Not Verified,Default,home_improvement,36.42168202651845,0,664,668,7,0,37722,17.8,11,f,Individual,1,0.0,1,5,3,666.0,False,True,False,False,False,False,True,False,False,False
24978,24978, 60 months,26.46,1012.51,E,E4,7 years,MORTGAGE,162294.5456657736,Verified,Does not meet the credit policy. Status:Charged Off,other,26.847663441229408,0,694,698,5,0,6580,41.8,22,w,Individual,1,0.0,1,5,7,696.0,False,False,False,True,True,False,False,False,True,True
20358,20358, 36 months,12.74,683.39,E,E4,< 1 year,MORTGAGE,48812.67055034775,Not Verified,Fully Paid,debt_consolidation,13.04298872423626,2,729,733,6,0,43346,15.5,9,f,Individual,4,0.0,0,5,0,731.0,True,False,False,False,True,False,False,False,False,False
39177,39177, 36 months,29.28,1647.71,E,E4,1 year,MORTGAGE,48643.97463268773,Source Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,29.671992391603887,0,704,708,21,0,25211,5.2,31,f,Individual,0,0.0,1,5,1,706.0,True,False,False,False,True,False,False,True,False,False
34378,34378, 36 months,7.95,1076.49,C,C3,,MORTGAGE,103120.2285435144,Verified,Fully Paid,credit_card,31.946177093986453,0,776,780,5,0,8211,60.2,16,w,Individual,0,0.0,0,3,0,778.0,False,False,False,False,True,False,False,False,True,False
16382,16382, 60 months,28.96,686.14,B,B5,5 years,OWN,57511.77057146437,Verified,Does not meet the credit policy. Status:Charged Off,credit_card,27.23706181251896,0,796,800,11,0,34736,48.3,17,f,Individual,4,0.0,1,2,5,798.0,False,False,False,False,False,True,False,False,True,True
19596,19596, 36 months,7.28,607.58,D,D4,8 years,OWN,52245.09383850901,Not Verified,Does not meet the credit policy. Status:Charged Off,other,14.574931220481336,3,761,765,10,0,1806,42.5,24,w,Individual,1,0.0,1,4,8,763.0,False,False,False,True,False,True,False,False,False,False
38572,38572, 36 months,10.78,1258.78,B,B5,< 1 year,MORTGAGE,96459.45572826598,Source Verified,Does not meet the credit policy. Status:Charged Off,credit_card,18.9971247357739,0,603,607,12,0,35323,12.1,20,f,Individual,1,1.0,1,2,0,605.0,False,False,False,False,True,False,False,True,False,False
18221,18221, 60 months,6.16,555.64,B,B5,3 years,OWN,68137.21759118755,Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,21.47073426763593,0,638,642,12,0,21888,57.9,15,f,Individual,2,1.0,1,2,3,640.0,False,True,False,False,False,True,False,False,True,True
6279,6279, 36 months,22.63,241.85,B,B2,3 years,RENT,55512.7272995843,Source Verified,Does not meet the credit policy. Status:Charged Off,credit_card,10.0854446354033,0,648,652,5,0,32627,75.2,16,w,Individual,0,0.0,1,2,3,650.0,False,False,False,False,False,False,True,True,False,False
12083,12083, 36 months,26.26,488.51,C,C2,8 years,MORTGAGE,50471.00646457401,Source Verified,Does not meet the credit policy. Status:Charged Off,debt_consolidation,20.82781390609948,1,730,734,10,0,10655,11.1,18,f,Individual,1,0.0,1,3,8,732.0,True,False,False,False,True,False,False,True,False,False
22771,22771, 60 months,15.85,798.88,B,B1,,RENT,39279.76601469303,Verified,Default,other,10.641909816522034,1,753,757,16,0,20925,42.2,22,w,Individual,0,0.0,1,2,0,755.0,False,False,False,True,False,False,True,False,True,True
34975,34975, 60 months,28.21,1450.66,B,B2,2 years,OWN,27611.32926617615,Not Verified,Does not meet the credit policy. Status:Charged Off,home_improvement,22.480811042549952,0,640,644,11,0,26984,33.0,18,f,Individual,3,0.0,1,2,2,642.0,False,True,False,False,False,True,False,False,False,True
24063,24063, 60 months,19.76,891.33,C,C4,1 year,MORTGAGE,104374.9524179411,Source Verified,Fully Paid,debt_consolidation,6.778376549347516,0,664,668,4,0,31896,85.3,14,f,Joint App,1,0.0,0,3,1,666.0,True,False,False,False,True,False,False,True,False,True
7106,7106, 60 months,20.75,266.81,E,E5,6 years,MORTGAGE,48430.93505159632,Source Verified,Default,debt_consolidation,38.1986022186421,0,721,725,6,0,8106,28.6,15,w,Individual,3,0.0,1,5,6,723.0,True,False,False,False,True,False,False,True,False,True
29557,29557, 36 months,26.14,1193.08,C,C1,1 year,MORTGAGE,25544.678735052898,Verified,Charged Off,major_purchase,13.622070249444995,0,743,747,11,0,36815,90.0,30,w,Individual,0,0.0,1,3,1,745.0,False,False,True,False,True,False,False,False,True,False
25607,25607, 60 months,12.42,855.66,E,E2,2 years,MORTGAGE,146039.9590158528,Source Verified,Does not meet the credit policy. Status:Charged Off,credit_card,21.345500845016318,0,785,789,22,0,2620,79.6,24,f,Individual,2,0.0,1,5,2,787.0,False,False,False,False,True,False,False,True,False,True
33529,33529, 36 months,13.86,1143.66,B,B3,4 years,MORTGAGE,62525.88416863026,Verified,Charged Off,home_improvement,6.1463261786325285,0,634,638,7,0,27142,14.0,23,w,Individual,0,0.0,1,2,4,636.0,False,True,False,False,True,False,False,False,True,False
32856,32856, 36 months,27.65,1352.84,B,B1,1 year,RENT,60547.06382641586,Source Verified,Does not meet the credit policy. Status:Charged Off,other,11.745253276989438,0,743,747,13,0,27344,48.3,31,f,Individual,0,0.0,1,2,1,745.0,False,False,False,True,False,False,True,True,False,False
7573,7573, 36 months,27.52,311.29,C,C4,8 years,RENT,27073.67114509616,Not Verified,Charged Off,other,29.263574714175206,1,632,636,21,0,1922,63.4,40,f,Joint App,1,0.0,1,3,8,634.0,False,False,False,True,False,False,True,False,False,False
17808,17808, 36 months,29.41,750.23,C,C5,5 years,MORTGAGE,80060.46070893385,Not Verified,Default,other,8.913021109861289,0,758,762,22,0,23876,58.4,41,w,Individual,1,0.0,1,3,5,760.0,False,False,False,True,True,False,False,False,False,False
39072,39072, 60 months,27.55,1606.67,C,C4,1 year,MORTGAGE,45910.34335395339,Not Verified,Does not meet the credit policy. Status:Charged Off,major_purchase,26.985220633743893,0,749,753,24,0,4577,66.1,30,f,Individual,1,0.0,1,3,1,751.0,False,False,True,False,True,False,False,False,False,True
28752,28752, 60 months,8.18,903.37,D,D4,9 years,RENT,45962.38239374701,Not Verified,Default,home_improvement,5.072411200201899,0,660,664,15,1,26577,43.4,23,w,Individual,0,0.0,1,4,9,662.0,False,True,False,False,False,False,True,False,False,True
22685,22685, 36 months,25.59,909.05,D,D3,5 years,MORTGAGE,73637.13705077978,Verified,Charged Off,debt_consolidation,21.275326402848226,0,707,711,14,0,9186,86.4,20,w,Individual,0,0.0,1,4,5,709.0,True,False,False,False,True,False,False,False,True,False
16372,16372, 36 months,15.25,569.55,F,F3,,RENT,63600.21428373953,Verified,Fully Paid,major_purchase,30.24702742531507,0,791,795,9,0,39185,29.3,24,f,Individual,2,0.0,0,6,0,793.0,False,False,True,False,False,False,True,False,True,False
13996,13996, 36 months,29.77,592.39,B,B5,6 years,ANY,36825.08874836234,Verified,Fully Paid,credit_card,37.42025020198059,0,797,801,9,0,28015,13.5,13,f,Individual,1,0.0,0,2,6,799.0,False,False,False,False,False,False,False,False,True,False
21458,21458, 60 months,16.81,763.01,B,B2,8 years,OWN,29373.55201911137,Verified,Default,debt_consolidation,22.249266163234484,2,762,766,11,0,14602,93.0,25,w,Individual,1,0.0,1,2,8,764.0,True,False,False,False,False,True,False,False,True,True
36889,36889, 60 months,18.85,1349.41,C,C4,4 years,RENT,65034.84437195813,Verified,Does not meet the credit policy. Status:Charged Off,other,34.41863644085193,1,638,642,13,0,46676,63.7,18,f,Individual,0,0.0,1,3,4,640.0,False,False,False,True,False,False,True,False,True,True
31665,31665, 36 months,18.24,1148.58,A,A2,< 1 year,MORTGAGE,62273.88054644433,Not Verified,Default,credit_card,33.09069741525799,0,730,734,5,0,42506,64.3,23,f,Individual,0,0.0,1,1,0,732.0,False,False,False,False,True,False,False,False,False,False
36653,36653, 36 months,13.04,1235.69,B,B5,7 years,MORTGAGE,220358.7029194677,Source Verified,Fully Paid,home_improvement,15.351977197362846,0,695,699,16,0,8958,78.6,18,f,Individual,1,0.0,0,2,7,697.0,False,True,False,False,True,False,False,True,False,False
31657,31657, 36 months,6.88,975.74,B,B4,< 1 year,RENT,19458.69330331432,Source Verified,Fully Paid,home_improvement,35.615676836908754,0,740,744,22,0,6654,42.9,36,f,Individual,1,0.0,0,2,0,742.0,False,True,False,False,False,False,True,True,False,False
27180,27180, 36 months,27.39,1115.32,B,B2,5 years,OWN,64448.0878323368,Not Verified,Default,major_purchase,27.409904293323965,0,613,617,9,1,13010,39.8,18,f,Individual,1,0.0,1,2,5,615.0,False,False,True,False,False,True,False,False,False,False
36896,36896, 60 months,25.07,1468.34,A,A4,2 years,MORTGAGE,26594.95842453548,Not Verified,Fully Paid,home_improvement,8.646462683022591,0,768,772,7,2,49102,90.4,14,w,Individual,1,0.0,0,1,2,770.0,False,True,False,False,True,False,False,False,False,True
17875,17875, 36 months,8.49,564.19,A,A3,,MORTGAGE,48660.4548875125,Verified,Fully Paid,other,37.86894788085581,1,735,739,14,0,22266,39.8,29,f,Individual,3,0.0,0,1,0,737.0,False,False,False,True,True,False,False,False,True,False
6622,6622, 36 months,24.42,261.26,C,C3,5 years,RENT,48347.76409632472,Verified,Charged Off,major_purchase,11.183685953685009,1,710,714,21,0,21558,12.1,31,f,Individual,2,0.0,1,3,5,712.0,False,False,True,False,False,False,True,False,True,False
21725,21725, 36 months,20.65,814.59,C,C1,7 years,MORTGAGE,78511.60138430083,Source Verified,Charged Off,major_purchase,21.462633155370284,0,618,622,5,0,15919,32.7,18,w,Individual,3,0.0,1,3,7,620.0,False,False,True,False,True,False,False,True,False,False
20646,20646, 36 months,15.23,718.03,D,D5,1 year,MORTGAGE,79617.12651265888,Source Verified,Does not meet the credit policy. Status:Charged Off,other,21.32278849407849,0,708,712,6,0,26184,83.6,8,f,Individual,2,0.0,1,4,1,710.0,False,False,False,True,True,False,False,True,False,False
22029,22029, 60 months,11.35,724.86,C,C2,9 years,OWN,118468.0918829806,Verified,Fully Paid,home_improvement,26.883281809931628,0,741,745,20,0,1482,13.5,36,f,Individual,0,0.0,0,3,9,743.0,False,True,False,False,False,True,False,False,True,True
34402,34402, 36 months,26.49,1395.07,A,A4,2 years,MORTGAGE,67729.74256408775,Verified,Charged Off,credit_card,28.27348679874671,0,777,781,12,1,2767,69.5,20,f,Individual,0,0.0,1,1,2,779.0,False,False,False,False,True,False,False,False,True,False
9263,9263, 36 months,22.5,356.16,B,B1,7 years,MORTGAGE,97989.54330763008,Not Verified,Fully Paid,major_purchase,13.151774037355793,1,698,702,22,1,22937,29.0,40,f,Individual,1,0.0,0,2,7,700.0,False,False,True,False,True,False,False,False,False,False
35987,35987, 36 months,18.69,1313.51,A,A5,7 years,RENT,119114.95280707051,Verified,Default,credit_card,17.335487098117213,0,660,664,21,0,43694,72.1,34,w,Individual,0,0.0,1,1,7,662.0,False,False,False,False,False,False,True,False,True,False
13646,13646, 36 months,20.24,508.8,D,D5,9 years,RENT,68119.73240283167,Not Verified,Fully Paid,credit_card,10.060657162076332,0,763,767,9,0,7995,51.3,24,w,Joint App,2,1.0,0,4,9,765.0,False,False,False,False,False,False,True,False,False,False
32529,32529, 36 months,7.28,1008.57,D,D5,6 years,MORTGAGE,107716.07697150372,Verified,Charged Off,credit_card,9.410550691734432,2,666,670,7,0,11878,62.3,21,w,Individual,2,0.0,1,4,6,668.0,False,False,False,False,True,False,False,False,True,False
16664,16664, 60 months,16.85,592.87,B,B2,5 years,MORTGAGE,66603.00340885393,Source Verified,Does not meet the credit policy. Status:Charged Off,credit_card,33.87735743353146,0,676,680,20,0,10125,26.9,31,w,Individual,1,0.0,1,2,5,678.0,False,False,False,False,True,False,False,True,False,True
